epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3760984241962433,0.755832850933075,0.01,0.41258740425109863,0.7201581597328186
1,0.5395430326461792,0.6784986853599548,0.01,0.6783216595649719,0.6485664248466492
2,0.7961335778236389,0.6179724931716919,0.01,0.8461538553237915,0.5894808173179626
3,0.8822495341300964,0.5663928389549255,0.01,0.9160839319229126,0.5378295183181763
4,0.9033392071723938,0.5205913782119751,0.01,0.9230769276618958,0.4912576675415039
5,0.9173989295959473,0.47900161147117615,0.01,0.9230769276618958,0.44909539818763733
6,0.9297012090682983,0.4413164556026459,0.01,0.9370629191398621,0.4111161231994629
7,0.9367311000823975,0.4071808457374573,0.01,0.9510489702224731,0.3768618702888489
8,0.9420034885406494,0.3762454688549042,0.01,0.9580419659614563,0.34610337018966675
9,0.9472759366035461,0.34842413663864136,0.01,0.9580419659614563,0.31859245896339417
10,0.9490333795547485,0.3236767053604126,0.01,0.9580419659614563,0.294192910194397
11,0.9525483250617981,0.3015913665294647,0.01,0.9790209531784058,0.27263525128364563
12,0.9543058276176453,0.2819593846797943,0.01,0.9790209531784058,0.25366073846817017
13,0.9543058276176453,0.26451578736305237,0.01,0.9930070042610168,0.23681104183197021
14,0.9507908821105957,0.24898725748062134,0.01,0.9930070042610168,0.22186870872974396
15,0.9507908821105957,0.2351756989955902,0.01,0.9930070042610168,0.20865324139595032
16,0.9525483250617981,0.22281479835510254,0.01,0.9860140085220337,0.19684216380119324
17,0.9595782160758972,0.21167413890361786,0.01,0.9860140085220337,0.18632963299751282
18,0.9595782160758972,0.20172758400440216,0.01,0.9860140085220337,0.1769840121269226
19,0.9595782160758972,0.19267408549785614,0.01,0.9930070042610168,0.16852952539920807
20,0.9613356590270996,0.18460537493228912,0.01,0.9930070042610168,0.16092441976070404
21,0.9595782160758972,0.17709404230117798,0.01,0.9930070042610168,0.15403753519058228
22,0.9595782160758972,0.17018094658851624,0.01,0.9930070042610168,0.14773303270339966
23,0.9613356590270996,0.1639348566532135,0.01,0.9930070042610168,0.1420609951019287
24,0.9613356590270996,0.15817534923553467,0.01,0.9930070042610168,0.13684336841106415
25,0.9613356590270996,0.152889221906662,0.01,0.9930070042610168,0.1321696788072586
26,0.9613356590270996,0.14792285859584808,0.01,0.9930070042610168,0.12786713242530823
27,0.9613356590270996,0.14331737160682678,0.01,0.9930070042610168,0.12378980964422226
